番号,スキルカード名,カードタイプ,プラン,パラメータ,強化後パラメータ,元気,強化後元気,やる気,強化後やる気,好印象,強化後好印象,集中,強化後集中,好調,強化後好調,絶好調,強化後絶好調,消費体力減少(ターン),強化後消費体力減少(ターン),体力回復,強化後体力回復,消費対象,消費,強化後消費,他効果,レアリティ,PLv,固有カード
26,ファーストステップ,メンタル,フリー,-,-,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,体力が50%以上の場合、消費体力削減1/レッスン/試験中1回 重複不可,青札,16,-
105,テレビ出演,メンタル,フリー,-,-,3,5,-,-,-,-,-,-,-,-,-,-,4,5,-,-,元気/体力,-1,-1,レッスン中1回/試験中1回/重複不可,虹札,5,-
106,叶えたい夢,メンタル,フリー,-,-,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-1,-1,レッスン中1回/試験中1回/重複不可,虹札,10,-
107,アイドル魂,メンタル,フリー,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-2,-2,レッスン開始時、手札に入る/低下状態無効(1回)/強化後:次のターン、手札をすべてレッスン中強化/レッスン中1回/試験中1回/重複不可,虹札,35,-
108,仕切り直し,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,元気/体力,-5,-2,手札をすべて入れ替える/スキルカード使用数追加+1/レッスン中1回/試験中1回/重複不可,虹札,40,-
130,花萌ゆ季節,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-1,ランダムな強化済みスキルカードを、手札に生成/スキルカード使用数追加+1/次のターン、スキルカードを引く/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [次の桜の季節には。] 
131,陽だまりの生徒会室,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,元気/体力,-3,-1,スキルカード使用数追加+1/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [お疲れ様、千奈ちゃん。] 
132,心のアルバム,アクティブ,フリー,3,6,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,次のターン、スキルカードを引く/2ターン後、スキルカードを引く/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [おいしい顔、いただき〜！] 
133,ティーパーティ,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-1,スキルカード使用数追加+1/手札をすべてレッスン中強化/強化後:スキルカードを引く/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [可愛いと可愛いで可愛い！] 
134,光のステージ,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,0,消費体力削減1/スキルカード使用数追加+1/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [まじか。] 
135,新生徒会爆誕！,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,元気/体力,-5,-4,レッスン開始時手札に入る/スキルカード使用数+1/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [仕事のつもりで臨みなさい] 
136,薄れゆく壁,メンタル,フリー,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-2,次のターン、手札をすべてレッスン中強化/2ターン後、手札を全てレッスン中強化/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [第2回教室パーティー！] 
137,みずたまりスキップ,メンタル,フリー,-,-,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-1,-1,スキルカード使用数追加+1/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [まだ上がりませんように！] 
1,アピールの基本,アクティブ,フリー,9,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,-,白札,-,-
2,ポーズの基本,アクティブ,フリー,2,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,-,白札,-,-
7,表現の基本,メンタル,フリー,-,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,レッスン中1回/試験中1回,白札,-,-
12,眠気,トラブル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,レッスン中1回/試験中1回,白札,-,-
